issueID,createdAt,createdBy,title,category,projectName,status,description,resolutionStatus,completedAt
CR-202604-001,20260401,Tanaka,ログイン画面で認証エラー発生,障害,PKG,確認中/検証中,特定ユーザーでログイン時に500エラーが発生,修正版をST環境で検証中,
CR-202604-002,20260402,Suzuki,帳票CSVの列順変更要望,顧客要望,SKB,完了,顧客より売上CSVの列順を変更したい要望,UAT確認完了,20260416
CR-202604-003,20260403,Sato,バッチ処理時間短縮の改善案,改善,MJR,完了,夜間バッチのSQL性能改善,対応完了,20260409
CR-202604-004,20260404,John,試験仕様書レビュー残件,残作業,SMT,完了,結合試験仕様書の未レビュー項目が残存,全レビュー完了,20260415
CR-202604-005,20260406,Yamada,画面遷移時にメニュー崩れ,障害,JPB,修正中/対応中,SP表示でサイドメニューが崩れる,CSSレスポンシブ修正中,
CR-202604-006,20260407,Miller,検索条件保存機能の追加,顧客要望,RLB,修正中/対応中,検索条件を次回利用時も再利用したい,保存APIとUIを実装中,
CR-202604-007,20260408,Kobayashi,メール文言の改善提案,改善,PKG,完了,通知メールの文言をわかりやすくしたい,対応完了,20260410
CR-202604-008,20260408,Lee,運用手順書の残タスク,残作業,SKB,修正中/対応中,手順書のバックアップ章が未作成,章追加を作業中,
CR-202604-009,20260409,Smith,顧客からの権限設定方法QA,QA,MJR,完了,権限設定方法に関する問い合わせ,回答済み,20260410
CR-202604-010,20260410,Takahashi,注文登録で二重送信,障害,SMT,修正中/対応中,注文ボタン連打で重複登録,送信ボタン制御と排他実装中,
CR-202604-011,20260411,Anderson,承認一覧の並び順要望,顧客要望,JPB,修正中/対応中,承認一覧を申請日降順にしたい,SQLソート順を修正中,
CR-202604-012,20260413,Nakamura,APIタイムアウト障害,障害,RLB,新規/未着手,ピーク時にAPI応答が30秒超過,受付済み,
CR-202604-013,20260414,Wilson,検索速度改善,改善,PKG,新規/未着手,商品検索レスポンスが遅い,改善案検討前,
CR-202604-014,20260415,Ito,マニュアル画像差し替え残件,残作業,SKB,新規/未着手,旧画面キャプチャが残っている,差し替え待ち,
CR-202604-015,20260417,Thomas,CSV出力文字化けQA,QA,JPB,新規/未着手,Excelで文字化けするとの問い合わせ,再現確認待ち,

